Phare	Chaque phare sous votre contrôle augmente le potentiel de mouvement de vos bateaux.	
Cantine	La Cantine permet de recruter 8 Gobelins supplémentaires chaque semaine.	
Cantine	La Cantine permet de recruter 8 Hobgobelins supplémentaires chaque semaine.	
		
Marché aux Esclaves	Le Marché aux Esclaves permet d'échanger des créatures contre des ressources.	
Forge de Guerre	Cette amélioration de la Forge fournit aux héros des Balistes.	
Valhalla	Le Valhalla augmente de +1 point la caractéristique Attaque des héros qui visitent la ville.	
		
		
Monument des Seigneurs	"La présence du Monument des Seigneurs permet de recruter 50% de créatures en plus chaque semaine et fournit à votre royaume 5000 pièces d'Or supplémentaires par jour. Lors d'un siège, le héros qui défend la ville voit sa caractéristique Attaque augmentée de +20."	
Entrepôt	Cette amélioration du Marché fournit des ressources supplémentaires : +1 unité de Bois et de Pierre par jour.	
Cage des Privations	La Cage des Privations augmente de +1 la caractéristique Défense des héros qui visitent la ville.	
Quartiers des Capitaines	Les Quartiers des Capitaines permettent de recruter 6 Gnolls supplémentaires chaque semaine.	
Quartiers des Capitaines	Les Quartiers des Capitaines permettent de recruter 6 Gnolls Maraudeurs supplémentaires chaque semaine.	
Chantier Naval	Le Chantier Naval vous permet d'acheter des bateaux.	
Glyphes d'Effroi	Les Glyphes d'Effroi fait bénéficier tous les héros qui défendent la ville d'un bonus Attaque de +2 lors d'un siège.
Obélisque Sanglant	L'Obélisque Sanglant fait bénéficier tous les héros qui défendent la ville d'un bonus Défense de +2 lors d'un siège.
		
		
		
Népenthes	"La présence du Népenthes permet de recruter 50% de créatures en plus chaque semaine et fournit à votre royaume 5000 pièces d'Or supplémentaires par jour. Lors d'un siège, le héros qui défend la ville voit ses caractéristiques Attaque et Défense augmentées de +10."	
Entrepôt	Cette amélioration du Marché fournit des ressources supplémentaires : +1 unité de Bois et de Pierre par jour.	
Échoppe	"L'Échoppe vous permet d'acheter des Objets Magiques ou des Artéfacts pour un prix dérisoire."	
Jardin Enchanté	Le Jardin Enchanté permet de recruter 10 Pixies supplémentaires chaque semaine.	
Jardin Enchanté	Le Jardin Enchanté permet de recruter 10 Fées supplémentaires chaque semaine.		
Chantier Naval	Le Chantier Naval vous permet d'acheter des bateaux.	
Université de Magie	"Dans l'Université de Magie, vos héros peuvent apprendre les compétences de toutes les formes de Magie."	
		
		
		
		
Aurore Boréale	"La présence de l'Aurore Boréale permet de recruter 50% de créatures en plus chaque semaine et fournit à votre royaume 5000 pièces d'Or supplémentaires par jour. De plus, la Guilde des Mages met à disposition tous les Sorts disponibles et connus."	
Entrepôt	Cette amélioration du Marché fournit des ressources supplémentaires : +1 unité de Mercure par jour.	
Échoppe	"L'Échoppe vous permet d'acheter des Objets Magiques ou des Artéfacts pour un prix dérisoire."	
Horde de Créatures Niv 1	Ce bâtiment augmente la production de Créatures de Niveau 1.	
Horde de Créatures Niv 2	Ce bâtiment augmente la production de Créatures de Niveau 2.	
Chantier Naval	Le Chantier Naval vous permet d'acheter des bateaux.	
		
		
Horde de Créatures Niv 3	Ce bâtiment augmente la production de Créatures de Niveau 3.	
Horde de Créatures Niv 4	Ce bâtiment augmente la production de Créatures de Niveau 4.	
Horde de Créatures Niv 5	Ce bâtiment augmente la production de Créatures de Niveau 5.	
Graal	"La présence du Graal permet de recruter 50% de créatures en plus chaque semaine et fournit à votre royaume 5000 pièces d'Or supplémentaires par jour. De plus, un bonus unique supplémentaire est alloué pour chaque type de ville."	
Entrepôt	L'Entrepôt ajoute chaque jour des ressources à vos réserves.

	
